trial,time,Other,Wondering,Investigating,Digging
15,0,1,0,0,0
15,0.2,1,0,0,0
15,0.4,1,0,0,0
15,0.6,1,0,0,0
15,0.8,1,0,0,0
15,1,1,0,0,0
15,1.2,1,0,0,0
15,1.4,1,0,0,0
15,1.6,1,0,0,0
15,1.8,1,0,0,0
15,2,1,0,0,0
15,2.2,1,0,0,0
15,2.4,1,0,0,0
15,2.6,1,0,0,0
15,2.8,1,0,0,0
15,3,1,0,0,0
15,3.2,1,0,0,0
15,3.4,1,0,0,0
15,3.6,1,0,0,0
15,3.8,1,0,0,0
15,4,1,0,0,0
15,4.2,1,0,0,0
15,4.4,1,0,0,0
15,4.6,1,0,0,0
15,4.8,1,0,0,0
15,5,1,0,0,0
15,5.2,1,0,0,0
15,5.4,1,0,0,0
15,5.6,1,0,0,0
15,5.8,1,0,0,0
15,6,1,0,0,0
15,6.2,1,0,0,0
15,6.4,1,0,0,0
15,6.6,1,0,0,0
15,6.8,1,0,0,0
15,7,1,0,0,0
15,7.2,1,0,0,0
15,7.4,1,0,0,0
15,7.6,1,0,0,0
15,7.8,1,0,0,0
15,8,1,0,0,0
15,8.2,1,0,0,0
15,8.4,0,1,0,0
15,8.6,0,1,0,0
15,8.8,0,1,0,0
15,9,0,1,0,0
15,9.2,0,1,0,0
15,9.4,0,1,0,0
15,9.6,0,1,0,0
15,9.8,0,1,0,0
15,10,0,1,0,0
15,10.2,0,1,0,0
15,10.4,0,1,0,0
15,10.6,0,1,0,0
15,10.8,0,1,0,0
15,11,0,1,0,0
15,11.2,0,1,0,0
15,11.4,0,1,0,0
15,11.6,0,1,0,0
15,11.8,0,1,0,0
15,12,0,1,0,0
15,12.2,0,1,0,0
15,12.4,0,1,0,0
15,12.6,0,1,0,0
15,12.8,0,1,0,0
15,13,0,1,0,0
15,13.2,0,1,0,0
15,13.4,0,1,0,0
15,13.6,0,1,0,0
15,13.8,0,1,0,0
15,14,0,1,0,0
15,14.2,0,0,1,0
15,14.4,0,0,1,0
15,14.6,0,0,1,0
15,14.8,0,0,1,0
15,15,0,0,1,0
15,15.2,0,0,1,0
15,15.4,0,0,1,0
15,15.6,0,0,1,0
15,15.8,0,0,1,0
15,16,0,0,1,0
15,16.2,0,0,1,0
15,16.4,0,0,1,0
15,16.6,0,0,1,0
15,16.8,0,0,1,0
15,17,0,0,1,0
15,17.2,0,0,1,0
15,17.4,0,0,1,0
15,17.6,0,0,1,0
15,17.8,0,0,1,0
15,18,0,0,1,0
15,18.2,0,0,1,0
15,18.4,0,0,1,0
15,18.6,0,0,1,0
15,18.8,0,0,1,0
15,19,0,0,1,0
15,19.2,0,0,1,0
15,19.4,0,0,1,0
15,19.6,0,0,1,0
15,19.8,0,0,1,0
15,20,0,0,1,0
15,20.2,0,0,1,0
15,20.4,0,0,1,0
15,20.6,0,0,1,0
15,20.8,0,0,1,0
15,21,0,0,1,0
15,21.2,0,0,1,0
15,21.4,0,0,1,0
15,21.6,0,0,1,0
15,21.8,0,0,1,0
15,22,0,0,1,0
15,22.2,0,0,1,0
15,22.4,0,0,1,0
15,22.6,0,0,1,0
15,22.8,0,0,1,0
15,23,0,0,1,0
15,23.2,0,0,1,0
15,23.4,0,0,1,0
15,23.6,0,0,1,0
15,23.8,0,0,1,0
15,24,0,0,1,0
15,24.2,0,0,1,0
15,24.4,0,0,1,0
15,24.6,0,0,1,0
15,24.8,0,0,1,0
15,25,0,0,1,0
15,25.2,0,0,1,0
15,25.4,0,0,1,0
15,25.6,0,0,1,0
15,25.8,0,0,1,0
15,26,0,0,1,0
15,26.2,0,0,1,0
15,26.4,0,0,1,0
15,26.6,0,0,1,0
15,26.8,0,0,1,0
15,27,0,0,1,0
15,27.2,0,0,1,0
15,27.4,0,0,1,0
15,27.6,0,0,1,0
15,27.8,0,0,1,0
15,28,0,0,1,0
15,28.2,0,0,1,0
15,28.4,0,0,1,0
15,28.6,0,0,1,0
15,28.8,0,0,1,0
15,29,0,0,1,0
15,29.2,0,0,1,0
15,29.4,0,0,1,0
15,29.6,0,0,1,0
15,29.8,0,0,1,0
15,30,0,0,1,0
15,30.2,0,0,1,0
15,30.4,0,0,1,0
15,30.6,0,0,1,0
15,30.8,0,0,1,0
15,31,0,0,1,0
15,31.2,0,0,1,0
15,31.4,0,0,1,0
15,31.6,0,0,1,0
15,31.8,0,0,1,0
15,32,0,0,1,0
15,32.2,0,0,1,0
15,32.4,0,0,1,0
15,32.6,0,0,1,0
15,32.8,0,0,1,0
15,33,0,0,1,0
15,33.2,0,0,1,0
15,33.4,0,0,1,0
15,33.6,0,0,1,0
15,33.8,0,0,1,0
15,34,0,0,1,0
15,34.2,0,0,1,0
15,34.4,0,0,1,0
15,34.6,0,0,1,0
15,34.8,0,0,1,0
15,35,0,0,1,0
15,35.2,0,0,1,0
15,35.4,0,0,1,0
15,35.6,0,0,1,0
15,35.8,0,0,1,0
15,36,0,0,1,0
15,36.2,0,0,1,0
15,36.4,0,0,1,0
15,36.6,0,0,1,0
15,36.8,0,0,1,0
15,37,0,0,1,0
15,37.2,0,0,1,0
15,37.4,0,0,1,0
15,37.6,0,0,1,0
15,37.8,0,0,1,0
15,38,0,0,1,0
15,38.2,0,0,1,0
15,38.4,0,0,1,0
15,38.6,0,0,1,0
15,38.8,0,0,1,0
15,39,0,0,1,0
15,39.2,0,0,1,0
15,39.4,0,0,1,0
15,39.6,0,0,1,0
15,39.8,0,0,1,0
15,40,0,0,1,0
15,40.2,0,0,1,0
15,40.4,0,0,1,0
15,40.6,0,0,1,0
15,40.8,0,0,1,0
15,41,0,0,1,0
15,41.2,0,0,1,0
15,41.4,0,0,1,0
15,41.6,0,0,1,0
15,41.8,0,0,1,0
15,42,0,0,1,0
15,42.2,0,0,1,0
15,42.4,0,0,1,0
15,42.6,0,0,1,0
15,42.8,0,0,1,0
15,43,0,0,1,0
15,43.2,0,0,1,0
15,43.4,0,0,1,0
15,43.6,0,0,1,0
15,43.8,0,0,1,0
15,44,0,0,1,0
15,44.2,0,0,1,0
15,44.4,0,0,1,0
15,44.6,0,0,1,0
15,44.8,0,0,1,0
15,45,0,0,1,0
15,45.2,0,0,1,0
15,45.4,0,0,1,0
15,45.6,0,0,1,0
15,45.8,0,0,1,0
15,46,0,0,1,0
15,46.2,0,0,1,0
15,46.4,0,0,1,0
15,46.6,0,0,1,0
15,46.8,0,0,1,0
15,47,0,0,1,0
15,47.2,0,0,1,0
15,47.4,0,0,1,0
15,47.6,0,0,1,0
15,47.8,0,0,1,0
15,48,0,0,1,0
15,48.2,0,0,1,0
